quiz_id;soal;benar;salah_1;salah_2;salah_3
2;Berikut adalah instrumen dan perangkat yang digunakan pada kegiatan Pemutakhiran Kerangka Geospasial dan Muatan Wilayah Kerja Statistik SE2026, kecuali..;Peta WB;Peta WA;SE2026-WILKERSTAT.IDSLS;Aplikasi Wilkerstat
2;Berikut merupakan cakupan kegiatan Pemutakhiran Kerangka Geospasial dan Muatan Wilayah Kerja Statistik Sensus Ekonomi 2026 yang tepat yaitu …;Seluruh SLS dan non-SLS di Indonesia;Seluruh SLS pada daerah Perkotaan;Seluruh SLS pada daerah pedesaan;Seluruh non-SLS dengan muatan Dominan 4
2;Yang termasuk ke dalam Bangunan Khusus Usaha (BKU) sebagai berikut, kecuali ....;Kantor Pemerintahan;BUMN seperti Kantor PLN, Bank BRI.;Sekolah dan rumah sakit;Usaha dengan lokasi tetap dan peralatan/perlengkapan usahanya tetap/ tidak dipindahkan
2;Ketentuan pembentukan sub-SLS sebagai berikut, kecuali ....;Memperhatikan muatan dan jenis blok sensus;Memperhatikan jumlah muatan sub-SLS berkisar 120-180;Jenis muatan dominan;Harus memperhatikan lokasi
2;Berikut pendekatan penghitungan muatan usaha yang benar, kecuali....;Untuk bangunan khusus usaha yang secara kasat mata hanya terlihat seperti satu bangunan, namun terdapat banyak plang usaha maka dihitung sebagai 1 BKU dan 1 perkiraan muatan usaha;Informasi jumlah perkiraan muatan usaha di mall/pertokoan/perkantoran bisa didapatkan dengan bertanya pada pengelola serta dengan validasi perhitungan dengan tally;Untuk bangunan tempat tinggal yang secara kasat mata terlihat memiliki usaha seperti warung, salon, atau terdapat baliho usaha, maka bangunan tersebut dihitung sebagai 1 BTT dan 1 perkiraan muatan usaha;Untuk bangunan yang teridentifikasi digunakan sebagai virtual office tanpa memberikan ruang fisik pada gedung yang sama, maka dihitung sebagai 1 BKU dengan 1 perkiraan muatan usaha
2;Salah satu pernyataan yang tepat mengenai tugas dan tanggung jawab petugas pendataan lapangan (pemetaan) pada kegiatan Pemutakhiran Kerangka Geospasial dan Muatan Wilayah Kerja Statistik SE2026 adalah...;Menghitung jumlah BTT, BBTT, BTT kosong, BKU, dan perkiraan muatan usaha yang secara kasat mata terlihat dalam SLS dengan tally;Melakukan penggambaran perubahan batas SLS pada Peta WA;Melakukan geotagging batas SLS hanya pada SLS yang mengalami perubahan batas SLS saja;Mengisi informasi perubahan SLS pada daftar IDSLS
2;Hal yang kurang tepat terkait tugas dan tanggung jawab petugas pendataan lapangan (pemetaan) saat mendapatkan tugas di wilayah konsentrasi ekonomi adalah...;Mengunjungi ketua SLS untuk meminta izin penelusuran wilayah konsentrasi ekonomi ;Menelusuri setiap lantai/area dan menghitung setiap tenant yang ada dengan tally menggunakan LK-Peta dan SE2026-WILKERSTAT.LKM;Meminta gambar denah dan informasi jumlah usaha/tenant kepada pengelola;Menggambarkan setiap segmen di LK-Peta
2;Berikut ini adalah instrumen yang digunakan oleh Petugas Pemeriksaan Lapangan (Pemetaan), kecuali...;SE2026-WILKERSTAT.LKM;SE2026-WILKERSTAT.RS;SE2026-WILKERSTAT.IDSLS;Peta WS
2;Salah satu tahapan dalam alur kerja Petugas Pemeriksaan Lapangan (Pemetaan) adalah membuat sub-SLS. Berikut adalah beberapa hal terkait pembentukan sub-SLS, kecuali..;Batas sub-SLS tidak perlu digambarkan pada peta WS;Sub-SLS dibentuk dari satu atau gabungan beberapa segmen;Sub-SLS dibentuk untuk SLS yang memiliki total muatan di atas 240 dengan muatan sub-SLS antara 120 - 180;Hasil pembentukan sub-SLS dIrekapitulasi pada dokumen SE2026-WILKERSTAT.RS
2;Instrumen berikut yang tidak perlu di scan pada kegiatan pemutakhiran wilkerstat SE2026 adalah …;Peta WB;Peta WA;Peta WS;LK-Peta
